step,loss
0,0.00015
1,0.0049
2,0.00046
3,0.00053
4,0.0004
5,0.00047
6,0.00113
7,0.0009
8,0.00016
9,0.00022
10,0.06187
11,0.00073
12,0.01894
13,0.00062
14,0.00026
15,0.0001
16,0.00039
17,0.00031
18,0.00014
19,0.0002
20,0.00021
21,0.00026
22,0.00028
23,0.003
24,0.00013
25,0.00057
26,0.01356
27,0.15362
28,0.00022
29,0.0005
30,0.00021
31,0.00102
32,0.00133
33,0.00049
34,0.00052
35,0.00153
36,0.00031
37,0.00147
38,0.00238
39,0.00032
40,0.00018
41,0.00036
42,0.00015
43,0.001
44,0.00053
45,0.00036
46,0.00031
47,0.00027
48,0.00043
49,0.00027
50,0.00028
51,0.00026
52,0.00022
53,0.00643
54,0.0002
55,0.01114
56,0.0002
57,0.00065
58,0.00291
59,0.0069
60,0.00034
61,0.00017
62,0.00056
63,0.00114
64,0.00046
65,0.00012
66,0.00181
67,0.00036
68,0.00017
69,0.00378
70,0.00028
71,0.00037
72,0.00056
73,0.00017
74,0.0006
75,0.00025
76,0.00079
77,0.00041
78,0.00088
79,0.0004
80,0.00099
81,0.00261
82,0.0005
83,0.00175
84,0.00014
85,0.00039
86,0.00046
87,0.00026
88,0.00019
89,0.00043
90,0.00035
91,0.00051
92,0.00041
93,0.00036
94,0.00072
95,0.00051
96,0.0011
97,0.00027
98,0.00055
99,0.00013
100,0.00015
101,0.00031
102,0.00032
103,0.00915
104,0.00023
105,0.0002
106,0.00185
107,0.0004
108,0.00014
109,0.00025
110,0.00035
111,0.00512
112,0.00042
113,0.00024
114,0.00021
115,0.00158
116,0.00073
117,0.00778
118,0.00051
119,0.00106
120,0.00031
121,0.00029
122,0.00024
123,0.0002
124,0.00056
125,0.0028
126,0.00015
127,0.00084
128,0.00055
129,0.0009
130,0.00036
131,0.0002
132,0.00029
133,0.00048
134,0.00215
135,0.00026
136,0.0004
137,0.00021
138,0.00025
139,0.00029
140,0.00249
141,0.63043
142,0.00022
143,0.00024
144,0.78226
145,0.0008
146,0.00035
147,0.00039
148,0.00018
149,0.00024
150,0.00039
151,0.00218
152,0.00086
153,0.00044
154,0.00086
155,0.0006
156,0.00063
157,0.00023
158,0.00182
159,0.00735
160,0.00036
161,0.0002
162,0.00062
163,0.00021
164,0.00041
165,0.00026
166,0.00021
167,0.0006
168,0.00069
169,0.00031
170,0.00221
171,0.00014
172,0.0005
173,0.00105
174,0.00023
175,0.00023
176,0.0002
177,0.0004
178,0.001
179,0.00027
180,0.00058
181,0.00047
182,0.00189
183,0.00153
184,0.00548
185,0.00037
186,0.00035
187,0.00131
188,0.00095
189,0.00025
190,0.00019
191,0.00021
192,0.00054
193,0.00022
194,0.00019
195,0.00031
196,0.00019
197,0.0002
198,0.00019
199,0.00182
200,0.00022
201,0.00022
202,0.00024
203,0.0001
204,0.00057
205,0.00019
206,0.00042
207,0.00045
208,0.00089
209,0.00028
210,0.00042
211,0.001
212,0.00057
213,0.00029
214,0.0011
215,0.00029
216,0.01583
217,0.00085
218,0.00087
219,0.00013
220,0.00088
221,0.00023
222,0.00093
223,0.00045
224,0.00017
225,0.0021
226,0.00029
227,0.00103
228,0.00079
229,0.00014
230,0.00063
231,0.00018
232,0.00199
233,0.00107
234,0.00022
235,0.00056
236,0.00049
237,0.00062
238,0.00042
239,0.00023
240,0.00056
241,0.00062
242,0.00067
243,0.00014
244,0.00182
245,0.0007
246,0.00064
247,0.00175
248,0.00047
249,0.00017
250,0.0004
251,0.00028
252,0.00021
253,0.00856
254,0.0003
255,0.08549
256,0.00014
257,0.00019
258,0.00027
259,0.00028
260,0.00089
261,0.00014
262,0.00072
263,0.00031
264,0.00077
265,0.00071
266,0.00838
267,0.00015
268,0.0002
269,0.00094
270,0.00159
271,0.00015
272,0.00044
273,0.00015
274,0.00022
275,0.00018
276,0.00033
277,0.0005
278,0.00027
279,0.00034
280,0.00031
281,0.00047
282,0.01296
283,0.00072
284,0.00034
285,0.00036
286,0.00031
287,0.00027
288,0.27502
289,0.00062
290,0.00051
291,0.00017
292,0.07447
293,0.00115
294,0.00053
295,0.00053
296,0.00135
297,0.0064
298,0.00023
299,0.00026
300,0.0001
301,0.00018
302,0.00015
303,0.00058
304,0.0001
305,0.0002
306,0.00056
307,0.00048
308,0.00069
309,0.00014
310,0.00022
311,0.0012
312,0.00024
313,0.00032
314,0.00036
315,0.0004
316,0.00035
317,0.00026
318,0.00024
319,0.00047
320,0.00024
321,0.00043
322,0.00027
323,0.0002
324,0.00105
325,0.00099
326,0.00019
327,0.00014
328,0.00078
329,0.00023
330,0.00099
331,0.00059
332,0.00023
333,0.00081
334,0.00019
335,0.0003
336,0.00052
337,0.00087
338,0.00016
339,0.00038
340,0.00083
341,0.00032
342,0.00019
343,0.00085
344,0.03009
345,0.00309
346,0.00029
347,0.00022
348,0.00018
349,0.0005
350,0.00252
351,0.0008
352,0.00048
353,0.00095
354,0.00039
355,0.00023
356,0.00068
357,0.00025
358,0.00089
359,0.00061
360,0.01034
361,0.00016
362,0.00047
363,0.00025
364,0.0002
365,0.00032
366,0.05948
367,0.0006
368,0.07931
369,0.00016
370,0.00018
371,0.00019
372,0.00019
373,0.00042
374,0.0002
375,0.00034
376,0.00026
377,0.00082
378,0.00023
379,0.00026
380,0.00058
381,0.00254
382,0.00069
383,0.00045
384,0.01846
385,0.00018
386,0.00031
387,0.02343
388,0.00012
389,0.00045
390,0.00053
391,0.00024
392,0.00071
393,0.00025
394,0.00019
395,0.0002
396,0.00025
397,0.00294
398,0.00033
399,0.00068
400,0.00068
401,0.00032
402,0.00019
403,0.00043
404,0.00032
405,0.0002
406,0.01562
407,0.00025
408,0.00015
409,0.00019
410,0.00027
411,0.00021
412,0.00046
413,0.00015
414,0.00019
415,0.00202
416,0.00016
417,0.00015
418,0.0002
419,0.00079
420,0.00028
421,0.00041
422,0.00014
423,0.00023
424,0.0005
425,9e-05
426,0.00036
427,0.0001
428,0.00044
429,0.00116
430,0.00046
431,0.00021
432,0.00012
433,0.00015
434,0.00016
435,0.00021
436,0.00036
437,0.00043
438,0.00131
439,0.00015
440,0.00023
441,0.00042
442,0.00035
443,0.00019
444,0.0002
445,0.00075
446,0.00018
447,0.00018
448,0.00026
449,0.03245
450,0.0007
451,0.00238
452,0.00013
453,0.00034
454,0.08506
455,0.00026
456,0.00035
457,0.00055
458,0.0002
459,0.0003
460,0.00023
461,0.00096
462,0.00033
463,0.00029
464,0.00023
465,0.0001
466,0.00023
467,0.00032
468,0.00022
469,0.00095
470,0.00044
471,0.00073
472,0.00017
473,0.00017
474,0.0002
475,0.00026
476,0.00047
477,0.00018
478,0.00066
479,0.00045
480,0.00127
481,0.00042
482,0.00069
483,0.00023
484,0.00024
485,0.00051
486,0.00046
487,0.00058
488,0.00021
489,0.00046
490,0.00015
491,0.00017
492,0.00028
493,0.0002
494,0.00036
495,0.00053
496,0.00054
497,0.00044
498,0.00026
499,0.00018
500,0.00044
501,0.00045
502,0.00029
503,0.00016
504,0.00011
505,0.00051
506,0.00014
507,0.00018
508,0.00016
509,0.00016
510,0.00041
511,0.00264
512,0.0007
513,0.0002
514,0.00031
515,0.00038
516,0.00043
517,0.00081
518,0.00014
519,0.00066
520,0.0003
521,0.00032
522,0.00017
523,0.14142
524,0.00035
525,0.00019
526,0.00039
527,0.00029
528,0.00043
529,0.00019
530,0.0004
531,0.0004
532,0.0003
533,0.07195
534,0.00051
535,0.00039
536,0.00024
537,0.00029
538,0.00024
539,0.00015
540,0.00055
541,0.00086
542,0.00099
543,0.0001
544,0.00017
545,0.00017
546,0.00084
547,0.00029
548,0.00041
549,0.00024
550,0.00035
551,0.00158
552,0.00046
553,0.00012
554,0.00025
555,8e-05
556,0.02329
557,0.00041
558,0.00015
559,0.00055
560,0.00044
561,0.00023
562,0.00032
563,0.00113
564,0.00015
565,0.00026
566,0.00052
567,0.0004
568,0.00474
569,0.00025
570,0.00015
571,0.00012
572,0.00021
573,0.00053
574,0.00026
575,0.0003
576,0.00071
577,0.00047
578,0.00017
579,0.00028
580,0.00019
581,0.00017
582,0.00035
583,0.00053
584,0.00052
585,0.00024
586,0.00086
587,0.00022
588,0.00024
589,0.00032
590,0.00062
591,0.00032
592,0.00024
593,0.00039
594,0.0003
595,0.00029
596,0.00076
597,0.00039
598,0.00396
599,0.00021
600,0.00067
601,0.00645
602,0.00018
603,8e-05
604,0.0005
605,0.00041
606,0.00019
607,0.00028
608,0.00026
609,0.00028
610,0.00041
611,0.00029
612,0.00045
613,0.00013
614,0.00036
615,0.00031
616,0.00023
617,0.00041
618,0.00077
619,0.00015
620,0.00081
621,0.00031
622,0.00021
623,0.0003
624,0.00023
625,0.01468
626,0.00021
627,0.00042
628,0.00029
629,0.00029
630,0.00015
631,0.0004
632,0.0002
633,0.00018
634,0.00015
635,0.00052
636,0.00015
637,0.00017
638,0.00023
639,0.00014
640,0.00013
641,0.00012
642,0.0009
643,0.00034
644,0.00049
645,0.00032
646,0.00025
647,0.00015
648,0.00041
649,0.00015
650,0.00023
651,0.00073
652,0.16378
653,0.00033
654,0.00012
655,0.00033
656,0.00013
657,0.00028
658,0.00013
659,0.00021
660,0.00061
661,0.00015
662,0.00022
663,0.00035
664,0.00028
665,0.00016
666,0.00223
667,0.0004
668,0.00023
669,0.00016
670,0.00039
671,0.0002
672,0.00064
673,0.00025
674,0.00081
675,0.00028
676,0.00019
677,0.00056
678,0.00021
679,0.00032
680,0.00016
681,0.00024
682,0.00059
683,0.00013
684,0.00054
685,0.00014
686,0.00062
687,0.00045
688,0.11304
689,0.00012
690,0.0003
691,0.00057
692,0.00033
693,0.00071
694,0.00013
695,0.00024
696,0.00025
697,0.00066
698,0.00017
699,0.0002
700,0.00029
701,0.00055
702,0.00073
703,0.00175
704,0.00064
705,0.00016
706,0.00042
707,0.00055
708,0.00025
709,0.00037
710,0.00126
711,0.00012
712,0.00016
713,0.00026
714,0.00036
715,0.00032
716,0.00015
717,0.00038
718,0.00021
719,0.00016
720,0.00034
721,0.02016
722,0.00019
723,0.00036
724,0.00597
725,0.00013
726,0.00015
727,0.00024
728,0.00033
729,0.00015
730,0.00038
731,0.00047
732,0.00011
733,0.00513
734,0.00059
735,0.00028
736,0.0003
737,0.0002
738,0.00047
739,0.00015
740,0.00032
741,0.00024
742,0.00012
743,0.0008
744,0.0002
745,0.00027
746,0.00034
747,0.00025
748,0.00027
749,0.00015
750,0.00019
751,0.00146
752,9e-05
753,0.0003
754,0.00023
755,0.00016
756,0.00022
757,0.00011
758,0.00023
759,0.00052
760,0.0001
761,0.00023
762,0.00025
763,0.00068
764,0.00051
765,0.00023
766,0.00012
767,0.00028
768,0.00032
769,0.00018
770,0.0002
771,0.00013
772,0.00038
773,0.00986
774,0.00019
775,0.00015
776,0.00011
777,0.00021
778,0.0001
779,0.00014
780,0.0002
781,0.00021
782,0.00038
783,0.0005
784,0.0018
785,0.00021
786,0.00031
787,0.00024
788,0.02037
789,0.00028
790,0.00012
791,0.00012
792,0.00037
793,0.0004
794,0.00015
795,0.00021
796,0.0004
797,0.0002
798,0.00044
799,0.00042
800,0.00021
801,0.00018
802,0.00048
803,0.00018
804,0.00055
805,0.00018
806,0.00013
807,0.00022
808,0.00034
809,0.00018
810,0.00019
811,0.00014
812,0.00016
813,0.00036
814,0.00041
815,0.00021
816,0.00018
817,0.0003
818,0.00023
819,0.00036
820,0.00063
821,0.00287
822,0.00018
823,0.00021
824,0.00028
825,0.00016
826,0.00126
827,0.00058
828,0.00018
829,0.00041
830,0.00022
831,0.0003
832,0.00012
833,0.00022
834,0.00017
835,0.00042
836,0.00058
837,0.00014
838,0.00074
839,0.0003
840,0.00022
841,0.0011
842,0.00046
843,0.00022
844,0.00028
845,0.0178
846,0.0006
847,0.0003
848,0.00017
849,0.00013
850,0.00038
851,0.0001
852,0.00034
853,0.00012
854,0.0006
855,0.00013
856,0.0004
857,0.00058
858,0.00015
859,0.0001
860,0.00022
861,0.00033
862,0.00045
863,0.00019
864,0.00028
865,0.00035
866,0.00028
867,0.00013
868,0.00118
869,0.00019
870,0.00012
871,0.00025
872,0.00057
873,0.00013
874,0.00048
875,0.00028
876,0.00144
877,0.00049
878,0.00041
879,0.00067
880,0.00035
881,0.00032
882,0.0004
883,0.00026
884,0.00075
885,0.00021
886,0.00013
887,0.00049
888,0.00012
889,0.00033
890,0.00013
891,0.00028
892,0.00108
893,0.00053
894,0.00016
895,0.039
896,0.00025
897,0.00028
898,0.00024
899,0.00013
900,0.00062
901,0.00014
902,0.00025
903,0.00096
904,0.00016
905,0.00017
906,0.0003
907,9e-05
908,0.00018
909,0.00036
910,0.00017
911,0.0001
912,0.00045
913,0.00086
914,0.00026
915,0.0003
916,0.00048
917,0.0001
918,7e-05
919,0.00016
920,0.00034
921,0.00077
922,0.00035
923,0.00022
924,0.00015
925,0.00036
926,0.00021
927,0.00016
928,0.00038
929,0.00014
930,0.00023
931,0.00039
932,0.00147
933,0.00014
934,0.00017
935,0.00022
936,0.00017
937,0.0002
938,0.00066
939,0.00015
940,0.00036
941,0.00015
942,0.00025
943,0.00024
944,0.00054
945,0.00015
946,0.00045
947,0.00027
948,0.00044
949,0.00036
950,0.0001
951,0.00027
952,0.00113
953,0.00041
954,0.00014
955,0.00052
956,0.00078
957,0.00015
958,0.00021
959,0.00019
960,0.00015
961,0.0007
962,8e-05
963,0.00014
964,0.00024
965,0.00024
966,0.00019
967,0.00018
968,0.00039
969,0.00024
970,0.00012
971,0.00016
972,0.00031
973,0.00016
974,0.00025
975,0.00075
976,0.00032
977,0.00073
978,0.00036
979,0.00065
980,0.00014
981,0.00066
982,0.00028
983,0.00084
984,0.00029
985,0.00014
986,0.00052
987,0.0002
988,0.00016
989,0.00021
990,0.00035
991,0.00013
992,0.00013
993,8e-05
994,0.00357
995,0.00014
996,0.00041
997,0.00023
998,0.00015
999,9e-05
1000,0.00013
1001,0.00031
1002,0.00022
1003,0.00042
1004,0.00019
1005,0.00051
1006,0.00012
1007,0.00021
1008,0.00018
1009,0.00042
1010,0.00012
1011,0.00056
1012,0.00012
1013,0.00022
1014,0.0001
1015,0.00015
1016,0.00054
1017,0.00024
1018,0.00018
1019,0.00036
1020,0.0003
1021,0.00016
1022,0.00019
1023,0.00018
1024,0.00044
1025,0.00081
1026,0.00042
1027,0.0004
1028,0.00011
1029,0.0001
1030,0.00015
1031,0.00018
1032,0.00016
1033,0.00017
1034,0.00014
1035,0.00027
1036,0.00022
1037,0.00015
1038,0.00024
1039,0.00014
1040,0.00053
1041,0.00031
1042,0.00018
1043,0.00035
1044,0.00013
1045,9e-05
1046,0.00011
1047,0.00012
1048,0.00028
1049,0.00019
1050,0.00469
1051,0.0001
1052,0.00041
1053,0.00015
1054,0.00015
1055,0.00039
1056,0.00039
1057,0.00028
1058,0.00032
1059,0.00015
1060,0.00072
1061,0.00025
1062,0.00015
1063,0.00049
1064,0.00117
1065,0.00021
1066,0.00015
1067,0.00021
1068,0.00045
1069,0.08598
1070,0.00037
1071,0.0006
1072,0.00021
1073,0.00025
1074,0.0001
1075,0.00032
1076,0.00032
1077,0.00012
1078,0.0004
1079,0.0018
1080,0.00084
1081,0.00012
1082,0.00017
1083,0.00012
1084,0.00065
1085,0.0003
1086,0.00042
1087,0.00014
1088,0.00019
1089,0.00039
1090,0.00052
1091,0.00016
1092,0.00025
1093,0.00028
1094,0.00013
1095,0.00023
1096,0.00011
1097,0.00019
1098,0.00017
1099,0.00014
1100,0.00041
1101,9e-05
1102,0.00037
1103,0.00569
1104,0.00011
1105,0.00191
1106,0.00014
1107,0.00055
1108,0.00017
1109,0.00013
1110,0.00088
1111,0.00053
1112,0.00012
1113,0.00037
1114,0.00042
1115,0.00025
1116,0.00026
1117,0.00029
1118,0.00019
1119,0.00032
1120,0.00022
1121,0.00016
1122,0.00074
1123,0.0102
1124,0.00082
1125,0.00024
1126,0.00029
1127,0.0002
1128,0.00011
1129,0.00089
1130,0.00036
1131,0.00039
1132,0.0002
1133,0.00012
1134,0.00031
1135,0.0003
1136,0.00012
1137,0.01292
1138,0.00048
1139,0.00014
1140,0.00041
1141,0.0001
1142,0.00014
1143,0.00014
1144,0.0001
1145,0.00032
1146,0.00011
1147,0.00069
1148,8e-05
1149,0.00011
1150,0.00032
1151,6e-05
1152,0.00012
1153,0.00024
1154,0.00015
1155,0.0001
1156,0.0001
1157,0.00041
1158,0.00013
1159,0.00044
1160,0.00018
1161,0.00011
1162,0.00039
1163,0.0001
1164,0.00037
1165,0.00107
1166,0.0001
1167,0.00014
1168,0.00015
1169,0.00018
1170,0.00036
1171,0.00011
1172,0.0002
1173,0.00036
1174,0.00025
1175,0.00035
1176,0.00023
1177,0.00061
1178,0.00095
1179,0.0005
1180,0.00011
1181,0.00047
1182,0.00025
1183,0.00026
1184,0.00074
1185,0.00018
1186,0.00017
1187,0.0001
1188,0.00113
1189,0.00035
1190,0.00014
1191,0.00011
1192,0.00019
1193,0.00012
1194,0.0002
